Test,Kernel,Type,Batch,Heads,SeqLen,HeadDim,Status,MaxError,MeanError,MSE,MaxRelError,KernelTime_ms,TorchTime_ms,Speedup,TFLOPS,Bandwidth_GBps,ErrorMessage
Small-1,FA2,BAC,1,1,128,64,PASS,4.76837158203125e-07,7.456785766635221e-08,2.5701663020072374e-14,0.01996072195470333,0.09635519981384277,0.2155303955078125,2.2368320124312433,0.08705921440884043,2.0404503377071976,
Small-1,PYTORCH CPU,BAC,1,1,128,64,PASS,0.0,0.0,0.0,0.0,0.2155303955078125,0.2155303955078125,1.0,0.019460382792495574,0.6081369622654867,
Small-1,PYTORCH GPU,BAC,1,1,128,64,PASS,0.0,0.0,0.0,0.0,0.4258155822753906,0.2155303955078125,0.5061590145576708,0.009850048177164613,0.30781400553639415,
Small-2,FA2,BAC,2,4,256,64,PASS,5.960464477539062e-07,6.212803782545961e-08,1.8294393777651408e-14,7.295373439788818,0.18477439880371094,0.6070137023925781,3.2851612903225806,1.4527740733453214,17.024696172015485,
Small-2,PYTORCH CPU,BAC,2,4,256,64,PASS,0.0,0.0,0.0,0.0,0.6070137023925781,0.6070137023925781,1.0,0.2211115292306803,3.4548676442293798,
Small-2,PYTORCH GPU,BAC,2,4,256,64,PASS,0.0,0.0,0.0,0.0,0.49042701721191406,0.6070137023925781,1.2377248420029168,0.27367523258206705,4.276175509094798,
Small-3,FA2,BAC,2,8,256,64,PASS,5.960464477539062e-07,6.478684611010976e-08,1.9277981988530257e-14,13.399999618530273,0.18490240573883057,1.1169910430908203,6.040976257867292,2.9035366514285106,34.02582013392786,
Small-3,PYTORCH CPU,BAC,2,8,256,64,PASS,0.0,0.0,0.0,0.0,1.1169910430908203,1.1169910430908203,1.0,0.240320150873559,3.7550023573993596,
Small-3,PYTORCH GPU,BAC,2,8,256,64,PASS,0.0,0.0,0.0,0.0,0.6427764892578125,1.1169910430908203,1.7377596439169138,0.417618659808095,6.5252915595014835,
Edge-SmallSeq,FA2,BAC,8,16,32,64,PASS,6.211921572685242e-07,5.996183460865723e-08,1.466413592659567e-14,0.6251364946365356,0.03149439990520477,0.4801750183105469,15.246361885155114,2.13081894565356,199.76427615502124,
Edge-SmallSeq,PYTORCH CPU,BAC,8,16,32,64,PASS,0.0,0.0,0.0,0.0,0.4801750183105469,0.4801750183105469,1.0,0.06987958706818669,8.734948383523337,
Edge-SmallSeq,PYTORCH GPU,BAC,8,16,32,64,PASS,0.0,0.0,0.0,0.0,0.6611347198486328,0.4801750183105469,0.7262892174540209,0.050752790607763436,6.34409882597043,
Medium-1,FA2,BAC,2,8,512,64,PASS,5.960464477539062e-07,6.726983059479608e-08,2.091729567332834e-14,8.573222160339355,0.705676794052124,3.6895275115966797,5.228353181930136,3.0431546936222174,17.83098453294268,
Medium-1,PYTORCH CPU,BAC,2,8,512,64,PASS,0.0,0.0,0.0,0.0,3.6895275115966797,3.6895275115966797,1.0,0.2910242085538285,2.273626629326785,
Medium-1,PYTORCH GPU,BAC,2,8,512,64,PASS,0.0,0.0,0.0,0.0,1.3403892517089844,3.6895275115966797,2.7525791533262183,0.8010671695785301,6.258337262332266,
Edge-NonPowerOf2,FA2,BAC,8,16,100,64,PASS,7.152557373046875e-07,7.508958788093878e-08,2.691735689322374e-14,2.6298935413360596,0.23332159519195556,1.750946044921875,7.504431998595576,2.808827016036943,84.26481048110828,
Edge-NonPowerOf2,PYTORCH CPU,BAC,8,16,100,64,PASS,0.0,0.0,0.0,0.0,1.750946044921875,1.750946044921875,1.0,0.18714454448801743,7.485781779520698,
Edge-NonPowerOf2,PYTORCH GPU,BAC,8,16,100,64,PASS,0.0,0.0,0.0,0.0,1.2140274047851562,1.750946044921875,1.4422623723487824,0.26991153470542023,10.79646138821681,
Medium-2,FA2,BAC,4,8,512,64,PASS,5.960464477539062e-07,6.699014676314619e-08,2.0713248824466568e-14,8.612903594970703,1.3624223709106444,14.50490951538086,10.64641173330541,3.1524491873465346,18.4713819571086,
Medium-2,PYTORCH CPU,BAC,4,8,512,64,PASS,0.0,0.0,0.0,0.0,14.50490951538086,14.50490951538086,1.0,0.14805219196457794,1.156657749723265,
Medium-2,PYTORCH GPU,BAC,4,8,512,64,PASS,0.0,0.0,0.0,0.0,1.873016357421875,14.50490951538086,7.744144602851324,1.1465375833427942,8.95732486986558,
Large-1,FA2,BAC,2,8,1024,64,PASS,5.960464477539062e-07,6.652069828305684e-08,1.9322434277602163e-14,15.500473976135254,2.7682239532470705,34.57975387573242,12.491674972745999,3.103049007983686,9.090963890577205,
Large-1,PYTORCH CPU,BAC,2,8,1024,64,PASS,0.0,0.0,0.0,0.0,34.57975387573242,34.57975387573242,1.0,0.1242046809076379,0.4851745347954605,
Large-1,PYTORCH GPU,BAC,2,8,1024,64,PASS,0.0,0.0,0.0,0.0,2.313375473022461,34.57975387573242,14.94774811913841,1.8565802854253308,7.252266739942699,
Large-2,FA2,BAC,4,12,1024,64,PASS,5.960464477539062e-07,6.585042910955963e-08,1.88608538373913e-14,11.918604850769043,6.605225372314453,107.88822174072266,16.333768442320224,3.9014268739433384,11.429961544755875,
Large-2,PYTORCH CPU,BAC,4,12,1024,64,PASS,0.0,0.0,0.0,0.0,107.88822174072266,107.88822174072266,1.0,0.11942825342848862,0.46651661495503366,
Large-2,PYTORCH GPU,BAC,4,12,1024,64,PASS,0.0,0.0,0.0,0.0,13.556480407714844,107.88822174072266,7.958424199788955,0.950460702223812,3.712737118061766,
Stress-1,FA2,BAC,8,16,2048,64,PASS,8.344650268554688e-07,7.32177625195618e-08,2.329409722837822e-14,27.52941131591797,64.60524291992188,1159.8069667816162,17.952211219439196,4.254730646005167,6.2325155947341315,
Stress-1,PYTORCH CPU,BAC,8,16,2048,64,PASS,0.0,0.0,0.0,0.0,1159.8069667816162,1159.8069667816162,1.0,0.11850157604535136,0.2314483907135769,
